Chip_2 vs Chip_1

Distribution of abs(diff in freq) (n=71)
Range                   %       +%   No.
-------------------------------------------
0.000<= x <0.050   100.00   100.00   71
0.050<= x <0.100     0.00   100.00   0
0.100<= x <0.150     0.00   100.00   0
0.150<= x <0.200     0.00   100.00   0
0.200<= x <0.250     0.00   100.00   0
0.250<= x <0.300     0.00   100.00   0
0.300<= x <0.350     0.00   100.00   0
0.350<= x <0.400     0.00   100.00   0
0.400<= x <0.450     0.00   100.00   0
0.450<= x <0.500     0.00   100.00   0
0.500<= x <0.550     0.00   100.00   0
0.550<= x <0.600     0.00   100.00   0
0.600<= x <0.650     0.00   100.00   0
0.650<= x <0.700     0.00   100.00   0
0.700<= x <0.750     0.00   100.00   0
0.750<= x <0.800     0.00   100.00   0
0.800<= x <0.850     0.00   100.00   0
0.850<= x <0.900     0.00   100.00   0
0.900<= x <0.950     0.00   100.00   0
0.950<= x<=1.000     0.00   100.00   0
-------------------------------------------

