Below is the number of input genotypes altered during imputation. However, original genotypes are kept in the output.
A: Total no. of original genotypes altered
B: No. original genotypes updated to missing
C: No. original genotypes updated to another genotype
D: No. genotyped progeny
ID                             Chip       A       %        B       %        C       %  D
B322_0375                         2       2  2.8169        0  0.0000        2  2.8169  0
B322_0283                         2       2  2.8169        0  0.0000        2  2.8169  0
B322_0189                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0137                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0111                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0083                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0042                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0009                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0538                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0001                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0101                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0276                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0275                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0267                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0220                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0290                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0292                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0291                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0296                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0249                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0242                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0253                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0247                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0264                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0256                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0686                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0694                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0654                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0683                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0670                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0635                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0429                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0461                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0725                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0702                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0656                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0626                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0700                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0553                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0621                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0549                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0536                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0645                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0535                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0695                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0644                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0571                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0442                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0688                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0642                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0611                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0594                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0663                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0527                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0504                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0526                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0502                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0722                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0337                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0309                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0251                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0227                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0219                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0203                         2       1  1.4085        0  0.0000        1  1.4085  0
B322_0191                         2       1  1.4085        0  0.0000        1  1.4085  0
