ID                    NoPrg_chip1 NoPrg_chip2
L1M10002                       0          25
L2F20534                       0          12
L2F20598                       0           6
L2F20671                       0          10
L2F20682                       0          10
L2F20756                       0          13
L2F20884                       0          11
L2F21005                       0           9
L2F21010                       0          12
L2F21039                       0           9
L2F21054                       0           7
L2F21075                       0           5
L2F21107                       0           8
L2F21256                       0           6
L2F21322                       0           4
L2F21328                       0          10
L2F21389                       0           7
L2F21569                       0           8
L2F21637                       0           6
L2F21694                       0           7
L2F21741                       0          11
L2F21811                       0          12
L2F21932                       0          10
L2F21995                       0          13
L2F22055                       0          10
L2F22141                       0          10
L2F22142                       0           4
L2F22157                       0          13
L2F22218                       0          11
L2F22244                       0          10
L2F22306                       0           9
L2F22374                       0           8
L2F22403                       0           9
L2F22410                       0           8
L2F22429                       0          10
L2F22476                       0           9
L2F22496                       0           7
L2F22514                       0           7
L2F22528                       0           9
L2F22572                       0          13
L2F22608                       0          10
L2F22750                       0           9
L2F22756                       0           7
L2F22809                       0           8
L2F22827                       0           7
L2F22872                       0          12
L2F22901                       0           9
L2F22907                       0          10
L2F23226                       0           9
L2F23414                       0          11
L2F23443                       0          11
L2F23481                       0          12
L2F23517                       0          14
L2F23521                       0          11
L2F23949                       0           6
L2F24065                       0           7
L2F24282                       0           7
L2F24283                       0           7
L2M20039                       0          22
L2M20111                       0          17
L2M20125                       0           6
L2M20152                       0          17
L2M20171                       0          18
L2M20172                       0          14
L2M20182                       0          21
L2M20195                       0          21
L2M20220                       0          17
L2M20222                       0          15
L2M20231                       0          17
L2M20232                       0          21
L2M20241                       0          22
L2M20249                       0          14
L2M20255                       0          17
L2M20257                       0          17
L2M20261                       0          21
L2M20271                       0          23
L2M20275                       0          13
L2M20276                       0          23
L2M20285                       0          21
L2M20288                       0          14
L2M20300                       0          15
L2M20308                       0          16
L2M20325                       0          23
L2M20327                       0          23
L2M20360                       0          13
L2M20382                       0          14
